2020/05/07 16:03:32 INFO  - jmeter.util.JMeterUtils: Setting Locale to sv_SE 
2020/05/07 16:03:33 ERROR - jmeter.util.JMeterUtils: Could not find resources for 'sv_SE' 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: Loading user properties from: /usr/share/jmeter/bin/user.properties 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: Loading system properties from: /usr/share/jmeter/bin/system.properties 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: Version 2.13.20170723 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: java.version=14.0.1 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: os.name=Linux 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: os.arch=amd64 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: os.version=5.3.0-51-generic 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: Default Locale=svenska (Sverige) 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: JMeter  Locale=svenska (Sverige) 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: JMeterHome=/usr/share/jmeter 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: user.dir  =/home/robert/af-test 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: PWD       =/home/robert/af-test 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: mando FullName: mando 
2020/05/07 16:03:33 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2020/05/07 16:03:33 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2020/05/07 16:03:33 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2020/05/07 16:03:33 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2020/05/07 16:03:34 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2020/05/07 16:03:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2020/05/07 16:03:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2020/05/07 16:03:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2020/05/07 16:03:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2020/05/07 16:03:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2020/05/07 16:03:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2020/05/07 16:03:34 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2020/05/07 16:03:34 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2020/05/07 16:03:34 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /usr/share/jmeter/bin/proxyserver.jks 
2020/05/07 16:03:34 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2020/05/07 16:03:34 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2020/05/07 16:03:34 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2020/05/07 16:03:34 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2020/05/07 16:03:51 INFO  - jmeter.services.FileServer: Default base='/home/robert/af-test' 
2020/05/07 16:03:51 INFO  - jmeter.gui.action.Load: Loading file: /home/robert/af-test/JMeter/af_dator/test/Fossa_kontacts2_100_50.jmx 
2020/05/07 16:03:51 INFO  - jmeter.services.FileServer: Set new base='/home/robert/af-test/JMeter/af_dator/test' 
2020/05/07 16:03:51 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2020/05/07 16:03:51 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.8 
2020/05/07 16:03:51 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
2020/05/07 16:03:51 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2020/05/07 16:03:51 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2020/05/07 16:03:51 INFO  - jmeter.save.SaveService: Loading file: /home/robert/af-test/JMeter/af_dator/test/Fossa_kontacts2_100_50.jmx 
2020/05/07 16:03:51 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2020/05/07 16:03:51 INFO  - jmeter.services.FileServer: Set new base='/home/robert/af-test/JMeter/af_dator/test' 
2020/05/07 16:04:26 INFO  - jmeter.services.FileServer: Set new base='/home/robert/af-test/JMeter/af_dator/test' 
